question_id,website_id,split,target_version,question_type,question,expected_behavior,retrieval_label,freshness_sensitive,source_page_type,version_a,version_b,snapshot_version,stale_case_id,conflict_id,gold_answer,gold_available,gold_derivation,supporting_chunk_ids,citation_required_document_ids,retrieval_needed
Q01587,W062,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-04-263? Benchmark case TRAIN-SOF-04-263-00.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V01,,,,No change between V01 and V01: identical version pair.,yes,comparison_same_version,"[""W062_V01_P03_C1"", ""W062_V01_P03_C2"", ""W062_V01_P03_C1"", ""W062_V01_P03_C2""]","[""W062_V01_P03"", ""W062_V01_P03""]",yes
Q01588,W062,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-04-263? Benchmark case TRAIN-SOF-04-263-01.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V01,V02,,,,The V02 support update is classified as policy.,yes,change_detection_changes_lookup,"[""W062_V02_P04_C1"", ""W062_V02_P04_C2""]","[""W062_V02_P04""]",yes
Q01589,W062,train,V03,policy,What is the current operating rule for rollback in the South profile of Cedar Software South? Benchmark case TRAIN-SOF-04-263-02.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V03) recorded on the FAQ page is: Reference SOF-04-263-03-05-95257 governs the frequently asked questions for Cedar Software South. The endpoint workflow supports deployment and records endpoint information under the South operating profile. Version 3 specifies a threshold of 18 units and a listed service value of 198 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 61 minutes. For deployment, the requester follows the site-specific verification route associated with reference SOF-04-263-03-05-95257.",yes,policy_faq_doc,"[""W062_V03_P05_C1"", ""W062_V03_P05_C2""]","[""W062_V03_P05""]",yes
Q01590,W062,train,V04,requirement,What information is required before rollback for reference SOF-04-263 in V04? Benchmark case TRAIN-SOF-04-263-03.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V04) is defined on the requirements page: Reference SOF-04-263-04-06-96579 governs the eligibility and requirements for Cedar Software South. The API key workflow supports upgrade and records endpoint information under the South operating profile. Version 4 specifies a threshold of 76 units and a listed service value of 257 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 116 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-04-06-96579.",yes,requirement_doc,"[""W062_V04_P06_C1"", ""W062_V04_P06_C2""]","[""W062_V04_P06""]",yes
Q01591,W062,train,V05,stale,"If the index still contains V03 for SOF-04-263, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-04-263-04.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V03,V05,V03,ST1446,,"Stale: the index contains V03 while the current release is V05; selective refresh of the schedule page chunks [W062_V03_P07_C1, W062_V03_P07_C2, W062_V05_P07_C1, W062_V05_P07_C2] from V03 to V05 is required before answering.",yes,stale_case_linked,"[""W062_V03_P07_C1"", ""W062_V03_P07_C2"", ""W062_V05_P07_C1"", ""W062_V05_P07_C2""]","[""W062_V03_P07"", ""W062_V05_P07""]",yes
Q01592,W062,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-04-263 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-04-263-05.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V04,V06,V04,,CF0062,The latest authoritative security release (V06) governs; the older snapshot (V04) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W062_V06_P08_C1"", ""W062_V06_P08_C2""]","[""W062_V04_P08"", ""W062_V06_P08""]",yes
Q01593,W062,train,V07,multi_document,"For SOF-04-263, combine the services and support guidance to explain how rollback is handled. Benchmark case TRAIN-SOF-04-263-06.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V07): services page says Reference SOF-04-263-07-09-00545 governs the available services for Cedar Software South. The API key workflow supports deployment and records workspace information under the South operating profile. Version 7 specifies a threshold of 13 units and a listed service value of 434 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 100 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-07-09-00545. support page says Reference SOF-04-263-07-04-98980 governs the support procedure for Cedar Software South. The deployment workflow supports rollback and records API key information under the South operating profile. Version 7 specifies a threshold of 28 units and a listed service value of 132 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 164 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-07-04-98980.",yes,multi_document_services_support,"[""W062_V07_P09_C1"", ""W062_V07_P09_C2"", ""W062_V07_P04_C1"", ""W062_V07_P04_C2""]","[""W062_V07_P09"", ""W062_V07_P04""]",yes
Q01594,W062,train,V08,retrieval_control,Control SOF-04-263-07: what is 195 + 245? Benchmark case TRAIN-SOF-04-263-07.,Answer 440 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,195 + 245 = 440.,yes,retrieval_control_arithmetic,[],[],no
Q01595,W062,train,V09,freshness,"For Cedar Software South (SOF-04-263), what is the current published value associated with deployment in version V09? Benchmark case TRAIN-SOF-04-263-08.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V09 for the overview page: threshold 80 units, listed service value 369 units (reference SOF-04-263-09-01-00059, South profile).",yes,freshness_overview_doc,"[""W062_V09_P01_C1"", ""W062_V09_P01_C2""]","[""W062_V09_P01""]",yes
Q01596,W062,train,V10,historical,"In website SOF-04-263, what did the pricing guidance say in V10, and how is that different from the current release? Benchmark case TRAIN-SOF-04-263-09.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V10,,,,,"In V10 the pricing guidance was: Reference SOF-04-263-10-02-01381 governs the pricing and commercial terms for Cedar Software South. The integration workflow supports authentication and records release information under the South operating profile. Version 10 specifies a threshold of 59 units and a listed service value of 428 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 31 minutes. For rollback, the requester follows the site-specific verification route associated with reference SOF-04-263-10-02-01381. Difference from the current release (V10): no difference from the current release.",yes,historical_pricing_doc_and_diff,"[""W062_V10_P02_C1"", ""W062_V10_P02_C2""]","[""W062_V10_P02"", ""W062_V10_P02""]",yes
Q01597,W062,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-04-263? Benchmark case TRAIN-SOF-04-263-10.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V01,,,,No change between V01 and V01: identical version pair.,yes,comparison_same_version,"[""W062_V01_P03_C1"", ""W062_V01_P03_C2"", ""W062_V01_P03_C1"", ""W062_V01_P03_C2""]","[""W062_V01_P03"", ""W062_V01_P03""]",yes
Q01598,W062,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-04-263? Benchmark case TRAIN-SOF-04-263-11.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V01,V02,,,,The V02 support update is classified as policy.,yes,change_detection_changes_lookup,"[""W062_V02_P04_C1"", ""W062_V02_P04_C2""]","[""W062_V02_P04""]",yes
Q01599,W062,train,V03,policy,What is the current operating rule for rollback in the South profile of Cedar Software South? Benchmark case TRAIN-SOF-04-263-12.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V03) recorded on the FAQ page is: Reference SOF-04-263-03-05-95257 governs the frequently asked questions for Cedar Software South. The endpoint workflow supports deployment and records endpoint information under the South operating profile. Version 3 specifies a threshold of 18 units and a listed service value of 198 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 61 minutes. For deployment, the requester follows the site-specific verification route associated with reference SOF-04-263-03-05-95257.",yes,policy_faq_doc,"[""W062_V03_P05_C1"", ""W062_V03_P05_C2""]","[""W062_V03_P05""]",yes
Q01600,W062,train,V04,requirement,What information is required before rollback for reference SOF-04-263 in V04? Benchmark case TRAIN-SOF-04-263-13.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V04) is defined on the requirements page: Reference SOF-04-263-04-06-96579 governs the eligibility and requirements for Cedar Software South. The API key workflow supports upgrade and records endpoint information under the South operating profile. Version 4 specifies a threshold of 76 units and a listed service value of 257 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 116 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-04-06-96579.",yes,requirement_doc,"[""W062_V04_P06_C1"", ""W062_V04_P06_C2""]","[""W062_V04_P06""]",yes
Q01601,W062,train,V05,stale,"If the index still contains V03 for SOF-04-263, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-04-263-14.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V03,V05,V03,ST1446,,"Stale: the index contains V03 while the current release is V05; selective refresh of the schedule page chunks [W062_V03_P07_C1, W062_V03_P07_C2, W062_V05_P07_C1, W062_V05_P07_C2] from V03 to V05 is required before answering.",yes,stale_case_linked,"[""W062_V03_P07_C1"", ""W062_V03_P07_C2"", ""W062_V05_P07_C1"", ""W062_V05_P07_C2""]","[""W062_V03_P07"", ""W062_V05_P07""]",yes
Q01602,W062,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-04-263 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-04-263-15.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V04,V06,V04,,CF0062,The latest authoritative security release (V06) governs; the older snapshot (V04) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W062_V06_P08_C1"", ""W062_V06_P08_C2""]","[""W062_V04_P08"", ""W062_V06_P08""]",yes
Q01603,W062,train,V07,multi_document,"For SOF-04-263, combine the services and support guidance to explain how rollback is handled. Benchmark case TRAIN-SOF-04-263-16.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V07): services page says Reference SOF-04-263-07-09-00545 governs the available services for Cedar Software South. The API key workflow supports deployment and records workspace information under the South operating profile. Version 7 specifies a threshold of 13 units and a listed service value of 434 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 100 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-07-09-00545. support page says Reference SOF-04-263-07-04-98980 governs the support procedure for Cedar Software South. The deployment workflow supports rollback and records API key information under the South operating profile. Version 7 specifies a threshold of 28 units and a listed service value of 132 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 164 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-07-04-98980.",yes,multi_document_services_support,"[""W062_V07_P09_C1"", ""W062_V07_P09_C2"", ""W062_V07_P04_C1"", ""W062_V07_P04_C2""]","[""W062_V07_P09"", ""W062_V07_P04""]",yes
Q01604,W062,train,V08,retrieval_control,Control SOF-04-263-17: what is 665 + 215? Benchmark case TRAIN-SOF-04-263-17.,Answer 880 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,665 + 215 = 880.,yes,retrieval_control_arithmetic,[],[],no
Q01605,W062,train,V09,freshness,"For Cedar Software South (SOF-04-263), what is the current published value associated with deployment in version V09? Benchmark case TRAIN-SOF-04-263-18.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V09 for the overview page: threshold 80 units, listed service value 369 units (reference SOF-04-263-09-01-00059, South profile).",yes,freshness_overview_doc,"[""W062_V09_P01_C1"", ""W062_V09_P01_C2""]","[""W062_V09_P01""]",yes
Q01606,W062,train,V10,historical,"In website SOF-04-263, what did the pricing guidance say in V10, and how is that different from the current release? Benchmark case TRAIN-SOF-04-263-19.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V10,,,,,"In V10 the pricing guidance was: Reference SOF-04-263-10-02-01381 governs the pricing and commercial terms for Cedar Software South. The integration workflow supports authentication and records release information under the South operating profile. Version 10 specifies a threshold of 59 units and a listed service value of 428 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 31 minutes. For rollback, the requester follows the site-specific verification route associated with reference SOF-04-263-10-02-01381. Difference from the current release (V10): no difference from the current release.",yes,historical_pricing_doc_and_diff,"[""W062_V10_P02_C1"", ""W062_V10_P02_C2""]","[""W062_V10_P02"", ""W062_V10_P02""]",yes
Q01607,W062,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-04-263? Benchmark case TRAIN-SOF-04-263-20.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V01,,,,No change between V01 and V01: identical version pair.,yes,comparison_same_version,"[""W062_V01_P03_C1"", ""W062_V01_P03_C2"", ""W062_V01_P03_C1"", ""W062_V01_P03_C2""]","[""W062_V01_P03"", ""W062_V01_P03""]",yes
Q01608,W062,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-04-263? Benchmark case TRAIN-SOF-04-263-21.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V01,V02,,,,The V02 support update is classified as policy.,yes,change_detection_changes_lookup,"[""W062_V02_P04_C1"", ""W062_V02_P04_C2""]","[""W062_V02_P04""]",yes
Q01609,W062,train,V03,policy,What is the current operating rule for rollback in the South profile of Cedar Software South? Benchmark case TRAIN-SOF-04-263-22.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V03) recorded on the FAQ page is: Reference SOF-04-263-03-05-95257 governs the frequently asked questions for Cedar Software South. The endpoint workflow supports deployment and records endpoint information under the South operating profile. Version 3 specifies a threshold of 18 units and a listed service value of 198 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 61 minutes. For deployment, the requester follows the site-specific verification route associated with reference SOF-04-263-03-05-95257.",yes,policy_faq_doc,"[""W062_V03_P05_C1"", ""W062_V03_P05_C2""]","[""W062_V03_P05""]",yes
Q01610,W062,train,V04,requirement,What information is required before rollback for reference SOF-04-263 in V04? Benchmark case TRAIN-SOF-04-263-23.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V04) is defined on the requirements page: Reference SOF-04-263-04-06-96579 governs the eligibility and requirements for Cedar Software South. The API key workflow supports upgrade and records endpoint information under the South operating profile. Version 4 specifies a threshold of 76 units and a listed service value of 257 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 116 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-04-263-04-06-96579.",yes,requirement_doc,"[""W062_V04_P06_C1"", ""W062_V04_P06_C2""]","[""W062_V04_P06""]",yes
Q01611,W062,train,V05,stale,"If the index still contains V03 for SOF-04-263, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-04-263-24.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V03,V05,V03,ST1446,,"Stale: the index contains V03 while the current release is V05; selective refresh of the schedule page chunks [W062_V03_P07_C1, W062_V03_P07_C2, W062_V05_P07_C1, W062_V05_P07_C2] from V03 to V05 is required before answering.",yes,stale_case_linked,"[""W062_V03_P07_C1"", ""W062_V03_P07_C2"", ""W062_V05_P07_C1"", ""W062_V05_P07_C2""]","[""W062_V03_P07"", ""W062_V05_P07""]",yes
Q01612,W062,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-04-263 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-04-263-25.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V04,V06,V04,,CF0062,The latest authoritative security release (V06) governs; the older snapshot (V04) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W062_V06_P08_C1"", ""W062_V06_P08_C2""]","[""W062_V04_P08"", ""W062_V06_P08""]",yes
Q01613,W063,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting modification on TRA-04-300? Benchmark case TRAIN-TRA-04-300-00.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,,V01,,,,No predecessor version exists; V01 is the initial release and has no lifecycle change to classify.,yes,change_detection_initial_release,"[""W063_V01_P04_C1"", ""W063_V01_P04_C2""]","[""W063_V01_P04""]",yes
Q01614,W063,train,V02,policy,What is the current operating rule for modification in the East profile of Cedar Travel East? Benchmark case TRAIN-TRA-04-300-01.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V02) recorded on the FAQ page is: Reference TRA-04-300-02-05-02167 governs the frequently asked questions for Cedar Travel East. The transfer workflow supports modification and records transfer information under the East operating profile. Version 2 specifies a threshold of 55 units and a listed service value of 372 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 93 minutes. For modification, the requester follows the site-specific verification route associated with reference TRA-04-300-02-05-02167.",yes,policy_faq_doc,"[""W063_V02_P05_C1"", ""W063_V02_P05_C2""]","[""W063_V02_P05""]",yes
Q01615,W063,train,V03,requirement,What information is required before modification for reference TRA-04-300 in V03? Benchmark case TRAIN-TRA-04-300-02.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V03) is defined on the requirements page: Reference TRA-04-300-03-06-03489 governs the eligibility and requirements for Cedar Travel East. The route workflow supports check-in and records transfer information under the East operating profile. Version 3 specifies a threshold of 34 units and a listed service value of 431 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 148 minutes. For transfer, the requester follows the site-specific verification route associated with reference TRA-04-300-03-06-03489.",yes,requirement_doc,"[""W063_V03_P06_C1"", ""W063_V03_P06_C2""]","[""W063_V03_P06""]",yes
Q01616,W063,train,V04,stale,"If the index still contains V02 for TRA-04-300, can it safely answer a current question about reservation? Benchmark case TRAIN-TRA-04-300-03.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V02,V04,V02,ST0463,,"Stale: the index contains V02 while the current release is V04; selective refresh of the schedule page chunks [W063_V02_P07_C1, W063_V02_P07_C2, W063_V04_P07_C1, W063_V04_P07_C2] from V02 to V04 is required before answering.",yes,stale_case_linked,"[""W063_V02_P07_C1"", ""W063_V02_P07_C2"", ""W063_V04_P07_C1"", ""W063_V04_P07_C2""]","[""W063_V02_P07"", ""W063_V04_P07""]",yes
Q01617,W063,train,V05,conflict,"If an older security snapshot disagrees with the latest TRA-04-300 release about modification, which source should govern the answer? Benchmark case TRAIN-TRA-04-300-04.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V03,V05,V03,,CF0063,The latest authoritative security release (V05) governs; the older snapshot (V03) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W063_V05_P08_C1"", ""W063_V05_P08_C2""]","[""W063_V03_P08"", ""W063_V05_P08""]",yes
Q01618,W063,train,V06,multi_document,"For TRA-04-300, combine the services and support guidance to explain how modification is handled. Benchmark case TRAIN-TRA-04-300-05.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V06): services page says Reference TRA-04-300-06-09-07455 governs the available services for Cedar Travel East. The route workflow supports modification and records boarding pass information under the East operating profile. Version 6 specifies a threshold of 50 units and a listed service value of 187 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 132 minutes. For booking, the requester follows the site-specific verification route associated with reference TRA-04-300-06-09-07455. support page says Reference TRA-04-300-06-04-05890 governs the support procedure for Cedar Travel East. The reservation workflow supports booking and records reservation information under the East operating profile. Version 6 specifies a threshold of 65 units and a listed service value of 306 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 196 minutes. For transfer, the requester follows the site-specific verification route associated with reference TRA-04-300-06-04-05890.",yes,multi_document_services_support,"[""W063_V06_P09_C1"", ""W063_V06_P09_C2"", ""W063_V06_P04_C1"", ""W063_V06_P04_C2""]","[""W063_V06_P09"", ""W063_V06_P04""]",yes
Q01619,W063,train,V07,retrieval_control,Control TRA-04-300-06: what is 141 + 291? Benchmark case TRAIN-TRA-04-300-06.,Answer 432 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,141 + 291 = 432.,yes,retrieval_control_arithmetic,[],[],no
Q01620,W063,train,V08,freshness,"For Cedar Travel East (TRA-04-300), what is the current published value associated with reservation in version V08? Benchmark case TRAIN-TRA-04-300-07.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V08 for the overview page: threshold 38 units, listed service value 122 units (reference TRA-04-300-08-01-06969, East profile).",yes,freshness_overview_doc,"[""W063_V08_P01_C1"", ""W063_V08_P01_C2""]","[""W063_V08_P01""]",yes
Q01621,W063,train,V09,historical,"In website TRA-04-300, what did the pricing guidance say in V09, and how is that different from the current release? Benchmark case TRAIN-TRA-04-300-08.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V09,,,,,"In V09 the pricing guidance was: Reference TRA-04-300-09-02-08291 governs the pricing and commercial terms for Cedar Travel East. The itinerary workflow supports modification and records luggage information under the East operating profile. Version 9 specifies a threshold of 17 units and a listed service value of 181 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 63 minutes. For transfer, the requester follows the site-specific verification route associated with reference TRA-04-300-09-02-08291. Difference from the current release (V10): workflow: 'itinerary' -> 'luggage'; action1: 'modification' -> 'check-in'; record: 'luggage' -> 'boarding pass'; action2: 'transfer' -> 'cancellation'; th: '17' -> '78'; sv: '181' -> '348'; day: 'Monday' -> 'Tuesday'; time: '07:00' -> '08:00'; min: '63' -> '167'.",yes,historical_pricing_doc_and_diff,"[""W063_V09_P02_C1"", ""W063_V09_P02_C2""]","[""W063_V09_P02"", ""W063_V10_P02""]",yes
Q01622,W063,train,V10,comparison,"Between V09 and V10, what changed for the reservation workflow on TRA-04-300? Benchmark case TRAIN-TRA-04-300-09.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V09,V10,,,,Between V09 and V10 the policy page changed in: workflow: 'luggage' -> 'transfer'; action1: 'check-in' -> 'cancellation'; record: 'reservation' -> 'luggage'; action2: 'modification' -> 'cancellation'; th: '14' -> '75'; sv: '73' -> '240'; day: 'Saturday' -> 'Sunday'; time: '12:00' -> '13:00'; min: '195' -> '118'.,yes,comparison_policy_doc_diff,"[""W063_V09_P03_C1"", ""W063_V09_P03_C2"", ""W063_V10_P03_C1"", ""W063_V10_P03_C2""]","[""W063_V09_P03"", ""W063_V10_P03""]",yes
Q01623,W063,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting modification on TRA-04-300? Benchmark case TRAIN-TRA-04-300-10.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,,V01,,,,No predecessor version exists; V01 is the initial release and has no lifecycle change to classify.,yes,change_detection_initial_release,"[""W063_V01_P04_C1"", ""W063_V01_P04_C2""]","[""W063_V01_P04""]",yes
Q01624,W063,train,V02,policy,What is the current operating rule for modification in the East profile of Cedar Travel East? Benchmark case TRAIN-TRA-04-300-11.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V02) recorded on the FAQ page is: Reference TRA-04-300-02-05-02167 governs the frequently asked questions for Cedar Travel East. The transfer workflow supports modification and records transfer information under the East operating profile. Version 2 specifies a threshold of 55 units and a listed service value of 372 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 93 minutes. For modification, the requester follows the site-specific verification route associated with reference TRA-04-300-02-05-02167.",yes,policy_faq_doc,"[""W063_V02_P05_C1"", ""W063_V02_P05_C2""]","[""W063_V02_P05""]",yes
Q01625,W063,train,V03,requirement,What information is required before modification for reference TRA-04-300 in V03? Benchmark case TRAIN-TRA-04-300-12.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V03) is defined on the requirements page: Reference TRA-04-300-03-06-03489 governs the eligibility and requirements for Cedar Travel East. The route workflow supports check-in and records transfer information under the East operating profile. Version 3 specifies a threshold of 34 units and a listed service value of 431 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 148 minutes. For transfer, the requester follows the site-specific verification route associated with reference TRA-04-300-03-06-03489.",yes,requirement_doc,"[""W063_V03_P06_C1"", ""W063_V03_P06_C2""]","[""W063_V03_P06""]",yes
Q01626,W063,train,V04,stale,"If the index still contains V02 for TRA-04-300, can it safely answer a current question about reservation? Benchmark case TRAIN-TRA-04-300-13.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V02,V04,V02,ST0463,,"Stale: the index contains V02 while the current release is V04; selective refresh of the schedule page chunks [W063_V02_P07_C1, W063_V02_P07_C2, W063_V04_P07_C1, W063_V04_P07_C2] from V02 to V04 is required before answering.",yes,stale_case_linked,"[""W063_V02_P07_C1"", ""W063_V02_P07_C2"", ""W063_V04_P07_C1"", ""W063_V04_P07_C2""]","[""W063_V02_P07"", ""W063_V04_P07""]",yes
Q01627,W063,train,V05,conflict,"If an older security snapshot disagrees with the latest TRA-04-300 release about modification, which source should govern the answer? Benchmark case TRAIN-TRA-04-300-14.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V03,V05,V03,,CF0063,The latest authoritative security release (V05) governs; the older snapshot (V03) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W063_V05_P08_C1"", ""W063_V05_P08_C2""]","[""W063_V03_P08"", ""W063_V05_P08""]",yes
Q01628,W063,train,V06,multi_document,"For TRA-04-300, combine the services and support guidance to explain how modification is handled. Benchmark case TRAIN-TRA-04-300-15.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V06): services page says Reference TRA-04-300-06-09-07455 governs the available services for Cedar Travel East. The route workflow supports modification and records boarding pass information under the East operating profile. Version 6 specifies a threshold of 50 units and a listed service value of 187 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 132 minutes. For booking, the requester follows the site-specific verification route associated with reference TRA-04-300-06-09-07455. support page says Reference TRA-04-300-06-04-05890 governs the support procedure for Cedar Travel East. The reservation workflow supports booking and records reservation information under the East operating profile. Version 6 specifies a threshold of 65 units and a listed service value of 306 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 196 minutes. For transfer, the requester follows the site-specific verification route associated with reference TRA-04-300-06-04-05890.",yes,multi_document_services_support,"[""W063_V06_P09_C1"", ""W063_V06_P09_C2"", ""W063_V06_P04_C1"", ""W063_V06_P04_C2""]","[""W063_V06_P09"", ""W063_V06_P04""]",yes
Q01629,W063,train,V07,retrieval_control,Control TRA-04-300-16: what is 611 + 261? Benchmark case TRAIN-TRA-04-300-16.,Answer 872 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,611 + 261 = 872.,yes,retrieval_control_arithmetic,[],[],no
Q01630,W063,train,V08,freshness,"For Cedar Travel East (TRA-04-300), what is the current published value associated with reservation in version V08? Benchmark case TRAIN-TRA-04-300-17.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V08 for the overview page: threshold 38 units, listed service value 122 units (reference TRA-04-300-08-01-06969, East profile).",yes,freshness_overview_doc,"[""W063_V08_P01_C1"", ""W063_V08_P01_C2""]","[""W063_V08_P01""]",yes
Q01631,W063,train,V09,historical,"In website TRA-04-300, what did the pricing guidance say in V09, and how is that different from the current release? Benchmark case TRAIN-TRA-04-300-18.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V09,,,,,"In V09 the pricing guidance was: Reference TRA-04-300-09-02-08291 governs the pricing and commercial terms for Cedar Travel East. The itinerary workflow supports modification and records luggage information under the East operating profile. Version 9 specifies a threshold of 17 units and a listed service value of 181 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 63 minutes. For transfer, the requester follows the site-specific verification route associated with reference TRA-04-300-09-02-08291. Difference from the current release (V10): workflow: 'itinerary' -> 'luggage'; action1: 'modification' -> 'check-in'; record: 'luggage' -> 'boarding pass'; action2: 'transfer' -> 'cancellation'; th: '17' -> '78'; sv: '181' -> '348'; day: 'Monday' -> 'Tuesday'; time: '07:00' -> '08:00'; min: '63' -> '167'.",yes,historical_pricing_doc_and_diff,"[""W063_V09_P02_C1"", ""W063_V09_P02_C2""]","[""W063_V09_P02"", ""W063_V10_P02""]",yes
