question_id,website_id,split,target_version,question_type,question,expected_behavior,retrieval_label,freshness_sensitive,source_page_type
Q00321,W013,train,V09,historical,"In website TEL-01-444, what did the pricing guidance say in V09, and how is that different from the current release? Benchmark case TRAIN-TEL-01-444-08.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00322,W013,train,V10,comparison,"Between V09 and V10, what changed for the bundle workflow on TEL-01-444? Benchmark case TRAIN-TEL-01-444-09.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00323,W013,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting replacement on TEL-01-444? Benchmark case TRAIN-TEL-01-444-10.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00324,W013,train,V02,policy,What is the current operating rule for replacement in the East profile of Atlas Telecom East? Benchmark case TRAIN-TEL-01-444-11.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00325,W013,train,V03,requirement,What information is required before replacement for reference TEL-01-444 in V03? Benchmark case TRAIN-TEL-01-444-12.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00326,W013,train,V04,stale,"If the index still contains V02 for TEL-01-444, can it safely answer a current question about bundle? Benchmark case TRAIN-TEL-01-444-13.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00327,W013,train,V05,conflict,"If an older security snapshot disagrees with the latest TEL-01-444 release about replacement, which source should govern the answer? Benchmark case TRAIN-TEL-01-444-14.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00328,W013,train,V06,multi_document,"For TEL-01-444, combine the services and support guidance to explain how replacement is handled. Benchmark case TRAIN-TEL-01-444-15.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00329,W013,train,V07,retrieval_control,Control TEL-01-444-16: what is 111 + 61? Benchmark case TRAIN-TEL-01-444-16.,Answer 172 without corpus retrieval.,retrieval_not_needed,no,contact
Q00330,W013,train,V08,freshness,"For Atlas Telecom East (TEL-01-444), what is the current published value associated with bundle in version V08? Benchmark case TRAIN-TEL-01-444-17.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00331,W013,train,V09,historical,"In website TEL-01-444, what did the pricing guidance say in V09, and how is that different from the current release? Benchmark case TRAIN-TEL-01-444-18.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00332,W013,train,V10,comparison,"Between V09 and V10, what changed for the bundle workflow on TEL-01-444? Benchmark case TRAIN-TEL-01-444-19.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00333,W013,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting replacement on TEL-01-444? Benchmark case TRAIN-TEL-01-444-20.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00334,W013,train,V02,policy,What is the current operating rule for replacement in the East profile of Atlas Telecom East? Benchmark case TRAIN-TEL-01-444-21.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00335,W013,train,V03,requirement,What information is required before replacement for reference TEL-01-444 in V03? Benchmark case TRAIN-TEL-01-444-22.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00336,W013,train,V04,stale,"If the index still contains V02 for TEL-01-444, can it safely answer a current question about bundle? Benchmark case TRAIN-TEL-01-444-23.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00337,W013,train,V05,conflict,"If an older security snapshot disagrees with the latest TEL-01-444 release about replacement, which source should govern the answer? Benchmark case TRAIN-TEL-01-444-24.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00338,W013,train,V06,multi_document,"For TEL-01-444, combine the services and support guidance to explain how replacement is handled. Benchmark case TRAIN-TEL-01-444-25.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00339,W014,train,V01,policy,What is the current operating rule for reconnection in the West profile of Atlas Utilities West? Benchmark case TRAIN-UTI-01-481-00.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00340,W014,train,V02,requirement,What information is required before reconnection for reference UTI-01-481 in V02? Benchmark case TRAIN-UTI-01-481-01.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00341,W014,train,V03,stale,"If the index still contains V01 for UTI-01-481, can it safely answer a current question about bill? Benchmark case TRAIN-UTI-01-481-02.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00342,W014,train,V04,conflict,"If an older security snapshot disagrees with the latest UTI-01-481 release about reconnection, which source should govern the answer? Benchmark case TRAIN-UTI-01-481-03.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00343,W014,train,V05,multi_document,"For UTI-01-481, combine the services and support guidance to explain how reconnection is handled. Benchmark case TRAIN-UTI-01-481-04.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00344,W014,train,V06,retrieval_control,Control UTI-01-481-05: what is 487 + 137? Benchmark case TRAIN-UTI-01-481-05.,Answer 624 without corpus retrieval.,retrieval_not_needed,no,contact
Q00345,W014,train,V07,freshness,"For Atlas Utilities West (UTI-01-481), what is the current published value associated with bill in version V07? Benchmark case TRAIN-UTI-01-481-06.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00346,W014,train,V08,historical,"In website UTI-01-481, what did the pricing guidance say in V08, and how is that different from the current release? Benchmark case TRAIN-UTI-01-481-07.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00347,W014,train,V09,comparison,"Between V08 and V09, what changed for the bill workflow on UTI-01-481? Benchmark case TRAIN-UTI-01-481-08.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00348,W014,train,V10,change_detection,Which lifecycle change type should be assigned to the V10 update affecting reconnection on UTI-01-481? Benchmark case TRAIN-UTI-01-481-09.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00349,W014,train,V01,policy,What is the current operating rule for reconnection in the West profile of Atlas Utilities West? Benchmark case TRAIN-UTI-01-481-10.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00350,W014,train,V02,requirement,What information is required before reconnection for reference UTI-01-481 in V02? Benchmark case TRAIN-UTI-01-481-11.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00351,W014,train,V03,stale,"If the index still contains V01 for UTI-01-481, can it safely answer a current question about bill? Benchmark case TRAIN-UTI-01-481-12.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00352,W014,train,V04,conflict,"If an older security snapshot disagrees with the latest UTI-01-481 release about reconnection, which source should govern the answer? Benchmark case TRAIN-UTI-01-481-13.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00353,W014,train,V05,multi_document,"For UTI-01-481, combine the services and support guidance to explain how reconnection is handled. Benchmark case TRAIN-UTI-01-481-14.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00354,W014,train,V06,retrieval_control,Control UTI-01-481-15: what is 957 + 107? Benchmark case TRAIN-UTI-01-481-15.,Answer 1064 without corpus retrieval.,retrieval_not_needed,no,contact
Q00355,W014,train,V07,freshness,"For Atlas Utilities West (UTI-01-481), what is the current published value associated with bill in version V07? Benchmark case TRAIN-UTI-01-481-16.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00356,W014,train,V08,historical,"In website UTI-01-481, what did the pricing guidance say in V08, and how is that different from the current release? Benchmark case TRAIN-UTI-01-481-17.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00357,W014,train,V09,comparison,"Between V08 and V09, what changed for the bill workflow on UTI-01-481? Benchmark case TRAIN-UTI-01-481-18.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00358,W014,train,V10,change_detection,Which lifecycle change type should be assigned to the V10 update affecting reconnection on UTI-01-481? Benchmark case TRAIN-UTI-01-481-19.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00359,W014,train,V01,policy,What is the current operating rule for reconnection in the West profile of Atlas Utilities West? Benchmark case TRAIN-UTI-01-481-20.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00360,W014,train,V02,requirement,What information is required before reconnection for reference UTI-01-481 in V02? Benchmark case TRAIN-UTI-01-481-21.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00361,W014,train,V03,stale,"If the index still contains V01 for UTI-01-481, can it safely answer a current question about bill? Benchmark case TRAIN-UTI-01-481-22.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00362,W014,train,V04,conflict,"If an older security snapshot disagrees with the latest UTI-01-481 release about reconnection, which source should govern the answer? Benchmark case TRAIN-UTI-01-481-23.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00363,W014,train,V05,multi_document,"For UTI-01-481, combine the services and support guidance to explain how reconnection is handled. Benchmark case TRAIN-UTI-01-481-24.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00364,W014,train,V06,retrieval_control,Control UTI-01-481-25: what is 527 + 77? Benchmark case TRAIN-UTI-01-481-25.,Answer 604 without corpus retrieval.,retrieval_not_needed,no,contact
Q00365,W015,train,V01,requirement,What information is required before booking for reference AUT-01-518 in V01? Benchmark case TRAIN-AUT-01-518-00.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00366,W015,train,V02,stale,"If the index still contains V01 for AUT-01-518, can it safely answer a current question about vehicle? Benchmark case TRAIN-AUT-01-518-01.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00367,W015,train,V03,conflict,"If an older security snapshot disagrees with the latest AUT-01-518 release about booking, which source should govern the answer? Benchmark case TRAIN-AUT-01-518-02.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00368,W015,train,V04,multi_document,"For AUT-01-518, combine the services and support guidance to explain how booking is handled. Benchmark case TRAIN-AUT-01-518-03.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00369,W015,train,V05,retrieval_control,Control AUT-01-518-04: what is 433 + 183? Benchmark case TRAIN-AUT-01-518-04.,Answer 616 without corpus retrieval.,retrieval_not_needed,no,contact
Q00370,W015,train,V06,freshness,"For Atlas Automotive Central (AUT-01-518), what is the current published value associated with vehicle in version V06? Benchmark case TRAIN-AUT-01-518-05.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00371,W015,train,V07,historical,"In website AUT-01-518, what did the pricing guidance say in V07, and how is that different from the current release? Benchmark case TRAIN-AUT-01-518-06.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00372,W015,train,V08,comparison,"Between V07 and V08, what changed for the vehicle workflow on AUT-01-518? Benchmark case TRAIN-AUT-01-518-07.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00373,W015,train,V09,change_detection,Which lifecycle change type should be assigned to the V09 update affecting booking on AUT-01-518? Benchmark case TRAIN-AUT-01-518-08.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00374,W015,train,V10,policy,What is the current operating rule for booking in the Central profile of Atlas Automotive Central? Benchmark case TRAIN-AUT-01-518-09.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00375,W015,train,V01,requirement,What information is required before booking for reference AUT-01-518 in V01? Benchmark case TRAIN-AUT-01-518-10.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00376,W015,train,V02,stale,"If the index still contains V01 for AUT-01-518, can it safely answer a current question about vehicle? Benchmark case TRAIN-AUT-01-518-11.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00377,W015,train,V03,conflict,"If an older security snapshot disagrees with the latest AUT-01-518 release about booking, which source should govern the answer? Benchmark case TRAIN-AUT-01-518-12.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00378,W015,train,V04,multi_document,"For AUT-01-518, combine the services and support guidance to explain how booking is handled. Benchmark case TRAIN-AUT-01-518-13.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00379,W015,train,V05,retrieval_control,Control AUT-01-518-14: what is 903 + 153? Benchmark case TRAIN-AUT-01-518-14.,Answer 1056 without corpus retrieval.,retrieval_not_needed,no,contact
Q00380,W015,train,V06,freshness,"For Atlas Automotive Central (AUT-01-518), what is the current published value associated with vehicle in version V06? Benchmark case TRAIN-AUT-01-518-15.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00381,W015,train,V07,historical,"In website AUT-01-518, what did the pricing guidance say in V07, and how is that different from the current release? Benchmark case TRAIN-AUT-01-518-16.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00382,W015,train,V08,comparison,"Between V07 and V08, what changed for the vehicle workflow on AUT-01-518? Benchmark case TRAIN-AUT-01-518-17.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00383,W015,train,V09,change_detection,Which lifecycle change type should be assigned to the V09 update affecting booking on AUT-01-518? Benchmark case TRAIN-AUT-01-518-18.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00384,W015,train,V10,policy,What is the current operating rule for booking in the Central profile of Atlas Automotive Central? Benchmark case TRAIN-AUT-01-518-19.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00385,W015,train,V01,requirement,What information is required before booking for reference AUT-01-518 in V01? Benchmark case TRAIN-AUT-01-518-20.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00386,W015,train,V02,stale,"If the index still contains V01 for AUT-01-518, can it safely answer a current question about vehicle? Benchmark case TRAIN-AUT-01-518-21.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00387,W015,train,V03,conflict,"If an older security snapshot disagrees with the latest AUT-01-518 release about booking, which source should govern the answer? Benchmark case TRAIN-AUT-01-518-22.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00388,W015,train,V04,multi_document,"For AUT-01-518, combine the services and support guidance to explain how booking is handled. Benchmark case TRAIN-AUT-01-518-23.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00389,W015,train,V05,retrieval_control,Control AUT-01-518-24: what is 473 + 123? Benchmark case TRAIN-AUT-01-518-24.,Answer 596 without corpus retrieval.,retrieval_not_needed,no,contact
Q00390,W015,train,V06,freshness,"For Atlas Automotive Central (AUT-01-518), what is the current published value associated with vehicle in version V06? Benchmark case TRAIN-AUT-01-518-25.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00391,W016,train,V01,stale,"If the index still contains V01 for HR-01-555, can it safely answer a current question about employee record? Benchmark case TRAIN-HR-01-555-00.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00392,W016,train,V02,conflict,"If an older security snapshot disagrees with the latest HR-01-555 release about enrolment, which source should govern the answer? Benchmark case TRAIN-HR-01-555-01.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00393,W016,train,V03,multi_document,"For HR-01-555, combine the services and support guidance to explain how enrolment is handled. Benchmark case TRAIN-HR-01-555-02.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00394,W016,train,V04,retrieval_control,Control HR-01-555-03: what is 379 + 229? Benchmark case TRAIN-HR-01-555-03.,Answer 608 without corpus retrieval.,retrieval_not_needed,no,contact
Q00395,W016,train,V05,freshness,"For Atlas Hr Coastal (HR-01-555), what is the current published value associated with training in version V05? Benchmark case TRAIN-HR-01-555-04.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00396,W016,train,V06,historical,"In website HR-01-555, what did the pricing guidance say in V06, and how is that different from the current release? Benchmark case TRAIN-HR-01-555-05.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00397,W016,train,V07,comparison,"Between V06 and V07, what changed for the review workflow on HR-01-555? Benchmark case TRAIN-HR-01-555-06.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00398,W016,train,V08,change_detection,Which lifecycle change type should be assigned to the V08 update affecting enrolment on HR-01-555? Benchmark case TRAIN-HR-01-555-07.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00399,W016,train,V09,policy,What is the current operating rule for enrolment in the Coastal profile of Atlas Hr Coastal? Benchmark case TRAIN-HR-01-555-08.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00400,W016,train,V10,requirement,What information is required before enrolment for reference HR-01-555 in V10? Benchmark case TRAIN-HR-01-555-09.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00401,W016,train,V01,stale,"If the index still contains V01 for HR-01-555, can it safely answer a current question about employee record? Benchmark case TRAIN-HR-01-555-10.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00402,W016,train,V02,conflict,"If an older security snapshot disagrees with the latest HR-01-555 release about enrolment, which source should govern the answer? Benchmark case TRAIN-HR-01-555-11.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00403,W016,train,V03,multi_document,"For HR-01-555, combine the services and support guidance to explain how enrolment is handled. Benchmark case TRAIN-HR-01-555-12.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00404,W016,train,V04,retrieval_control,Control HR-01-555-13: what is 849 + 199? Benchmark case TRAIN-HR-01-555-13.,Answer 1048 without corpus retrieval.,retrieval_not_needed,no,contact
Q00405,W016,train,V05,freshness,"For Atlas Hr Coastal (HR-01-555), what is the current published value associated with training in version V05? Benchmark case TRAIN-HR-01-555-14.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00406,W016,train,V06,historical,"In website HR-01-555, what did the pricing guidance say in V06, and how is that different from the current release? Benchmark case TRAIN-HR-01-555-15.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00407,W016,train,V07,comparison,"Between V06 and V07, what changed for the review workflow on HR-01-555? Benchmark case TRAIN-HR-01-555-16.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00408,W016,train,V08,change_detection,Which lifecycle change type should be assigned to the V08 update affecting enrolment on HR-01-555? Benchmark case TRAIN-HR-01-555-17.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00409,W016,train,V09,policy,What is the current operating rule for enrolment in the Coastal profile of Atlas Hr Coastal? Benchmark case TRAIN-HR-01-555-18.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00410,W016,train,V10,requirement,What information is required before enrolment for reference HR-01-555 in V10? Benchmark case TRAIN-HR-01-555-19.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00411,W016,train,V01,stale,"If the index still contains V01 for HR-01-555, can it safely answer a current question about employee record? Benchmark case TRAIN-HR-01-555-20.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00412,W016,train,V02,conflict,"If an older security snapshot disagrees with the latest HR-01-555 release about enrolment, which source should govern the answer? Benchmark case TRAIN-HR-01-555-21.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00413,W016,train,V03,multi_document,"For HR-01-555, combine the services and support guidance to explain how enrolment is handled. Benchmark case TRAIN-HR-01-555-22.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00414,W016,train,V04,retrieval_control,Control HR-01-555-23: what is 419 + 169? Benchmark case TRAIN-HR-01-555-23.,Answer 588 without corpus retrieval.,retrieval_not_needed,no,contact
Q00415,W016,train,V05,freshness,"For Atlas Hr Coastal (HR-01-555), what is the current published value associated with training in version V05? Benchmark case TRAIN-HR-01-555-24.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00416,W016,train,V06,historical,"In website HR-01-555, what did the pricing guidance say in V06, and how is that different from the current release? Benchmark case TRAIN-HR-01-555-25.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00417,W017,train,V01,conflict,"If an older security snapshot disagrees with the latest RES-01-592 release about access, which source should govern the answer? Benchmark case TRAIN-RES-01-592-00.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00418,W017,train,V02,multi_document,"For RES-01-592, combine the services and support guidance to explain how access is handled. Benchmark case TRAIN-RES-01-592-01.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00419,W017,train,V03,retrieval_control,Control RES-01-592-02: what is 325 + 275? Benchmark case TRAIN-RES-01-592-02.,Answer 600 without corpus retrieval.,retrieval_not_needed,no,contact
Q00420,W017,train,V04,freshness,"For Atlas Research Metro (RES-01-592), what is the current published value associated with submission in version V04? Benchmark case TRAIN-RES-01-592-03.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00421,W017,train,V05,historical,"In website RES-01-592, what did the pricing guidance say in V05, and how is that different from the current release? Benchmark case TRAIN-RES-01-592-04.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00422,W017,train,V06,comparison,"Between V05 and V06, what changed for the submission workflow on RES-01-592? Benchmark case TRAIN-RES-01-592-05.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00423,W017,train,V07,change_detection,Which lifecycle change type should be assigned to the V07 update affecting access on RES-01-592? Benchmark case TRAIN-RES-01-592-06.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00424,W017,train,V08,policy,What is the current operating rule for access in the Metro profile of Atlas Research Metro? Benchmark case TRAIN-RES-01-592-07.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00425,W017,train,V09,requirement,What information is required before access for reference RES-01-592 in V09? Benchmark case TRAIN-RES-01-592-08.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00426,W017,train,V10,stale,"If the index still contains V08 for RES-01-592, can it safely answer a current question about submission? Benchmark case TRAIN-RES-01-592-09.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00427,W017,train,V01,conflict,"If an older security snapshot disagrees with the latest RES-01-592 release about access, which source should govern the answer? Benchmark case TRAIN-RES-01-592-10.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00428,W017,train,V02,multi_document,"For RES-01-592, combine the services and support guidance to explain how access is handled. Benchmark case TRAIN-RES-01-592-11.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00429,W017,train,V03,retrieval_control,Control RES-01-592-12: what is 795 + 245? Benchmark case TRAIN-RES-01-592-12.,Answer 1040 without corpus retrieval.,retrieval_not_needed,no,contact
Q00430,W017,train,V04,freshness,"For Atlas Research Metro (RES-01-592), what is the current published value associated with submission in version V04? Benchmark case TRAIN-RES-01-592-13.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00431,W017,train,V05,historical,"In website RES-01-592, what did the pricing guidance say in V05, and how is that different from the current release? Benchmark case TRAIN-RES-01-592-14.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00432,W017,train,V06,comparison,"Between V05 and V06, what changed for the submission workflow on RES-01-592? Benchmark case TRAIN-RES-01-592-15.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00433,W017,train,V07,change_detection,Which lifecycle change type should be assigned to the V07 update affecting access on RES-01-592? Benchmark case TRAIN-RES-01-592-16.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00434,W017,train,V08,policy,What is the current operating rule for access in the Metro profile of Atlas Research Metro? Benchmark case TRAIN-RES-01-592-17.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00435,W017,train,V09,requirement,What information is required before access for reference RES-01-592 in V09? Benchmark case TRAIN-RES-01-592-18.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00436,W017,train,V10,stale,"If the index still contains V08 for RES-01-592, can it safely answer a current question about submission? Benchmark case TRAIN-RES-01-592-19.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00437,W017,train,V01,conflict,"If an older security snapshot disagrees with the latest RES-01-592 release about access, which source should govern the answer? Benchmark case TRAIN-RES-01-592-20.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00438,W017,train,V02,multi_document,"For RES-01-592, combine the services and support guidance to explain how access is handled. Benchmark case TRAIN-RES-01-592-21.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00439,W017,train,V03,retrieval_control,Control RES-01-592-22: what is 365 + 215? Benchmark case TRAIN-RES-01-592-22.,Answer 580 without corpus retrieval.,retrieval_not_needed,no,contact
Q00440,W017,train,V04,freshness,"For Atlas Research Metro (RES-01-592), what is the current published value associated with submission in version V04? Benchmark case TRAIN-RES-01-592-23.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00441,W017,train,V05,historical,"In website RES-01-592, what did the pricing guidance say in V05, and how is that different from the current release? Benchmark case TRAIN-RES-01-592-24.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00442,W017,train,V06,comparison,"Between V05 and V06, what changed for the submission workflow on RES-01-592? Benchmark case TRAIN-RES-01-592-25.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00443,W018,train,V01,multi_document,"For LOG-01-629, combine the services and support guidance to explain how claim is handled. Benchmark case TRAIN-LOG-01-629-00.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00444,W018,train,V02,retrieval_control,Control LOG-01-629-01: what is 271 + 321? Benchmark case TRAIN-LOG-01-629-01.,Answer 592 without corpus retrieval.,retrieval_not_needed,no,contact
Q00445,W018,train,V03,freshness,"For Atlas Logistics Highland (LOG-01-629), what is the current published value associated with shipment in version V03? Benchmark case TRAIN-LOG-01-629-02.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00446,W018,train,V04,historical,"In website LOG-01-629, what did the pricing guidance say in V04, and how is that different from the current release? Benchmark case TRAIN-LOG-01-629-03.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00447,W018,train,V05,comparison,"Between V04 and V05, what changed for the shipment workflow on LOG-01-629? Benchmark case TRAIN-LOG-01-629-04.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00448,W018,train,V06,change_detection,Which lifecycle change type should be assigned to the V06 update affecting claim on LOG-01-629? Benchmark case TRAIN-LOG-01-629-05.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00449,W018,train,V07,policy,What is the current operating rule for claim in the Highland profile of Atlas Logistics Highland? Benchmark case TRAIN-LOG-01-629-06.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00450,W018,train,V08,requirement,What information is required before claim for reference LOG-01-629 in V08? Benchmark case TRAIN-LOG-01-629-07.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00451,W018,train,V09,stale,"If the index still contains V07 for LOG-01-629, can it safely answer a current question about shipment? Benchmark case TRAIN-LOG-01-629-08.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00452,W018,train,V10,conflict,"If an older security snapshot disagrees with the latest LOG-01-629 release about claim, which source should govern the answer? Benchmark case TRAIN-LOG-01-629-09.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00453,W018,train,V01,multi_document,"For LOG-01-629, combine the services and support guidance to explain how claim is handled. Benchmark case TRAIN-LOG-01-629-10.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00454,W018,train,V02,retrieval_control,Control LOG-01-629-11: what is 741 + 291? Benchmark case TRAIN-LOG-01-629-11.,Answer 1032 without corpus retrieval.,retrieval_not_needed,no,contact
